frame_number,fps
0,0
24,24
50,26
78,28
108,30
137,29
165,28
193,28
222,29
252,30
280,28
313,33
342,29
372,30
402,30
431,29
460,29
488,28
517,29
547,30
577,30
603,26
633,30
661,28
690,29
721,31
750,29
782,32
811,29
841,30
872,31
900,28
926,26
955,29
985,30
1016,31
1046,30
1075,29
1104,29
1133,29
1164,31
1194,30
1224,30
1248,24
1276,28
1306,30
1336,30
1364,28
1391,27
1422,31
1452,30
1482,30
1512,30
1540,28
1567,27
1597,30
1627,30
1657,30
1688,31
1718,30
1748,30
1778,30
1804,26
1831,27
1859,28
1886,27
1916,30
1946,30
1973,27
2002,29
2031,29
2061,30
2092,31
2123,31
2152,29
2182,30
2210,28
2238,28
2266,28
2293,27
2323,30
