frame_number,fps
0,0
13,13
29,16
45,16
62,17
78,16
95,17
111,16
128,17
145,17
162,17
179,17
198,19
216,18
233,17
250,17
268,18
285,17
302,17
318,16
335,17
352,17
370,18
387,17
404,17
422,18
440,18
458,18
479,21
497,18
515,18
533,18
551,18
568,17
586,18
604,18
623,19
641,18
659,18
677,18
691,14
709,18
727,18
745,18
766,21
784,18
802,18
819,17
837,18
855,18
872,17
890,18
908,18
926,18
944,18
961,17
979,18
997,18
1015,18
1034,19
1054,20
1072,18
1090,18
1108,18
1126,18
1144,18
1162,18
1180,18
1199,19
1217,18
1235,18
1253,18
1271,18
1289,18
1308,19
1328,20
1347,19
1366,19
1384,18
1402,18
1421,19
1439,18
1454,15
