epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.005,1.52514,3.02603,1.275,0.62802,0.39936,0.39497,0.19282,1.63454,3.97165,1.3047,0.000125,0.000125,0.000125
2,137.954,1.48352,1.40285,1.25432,0.23872,0.70255,0.19496,0.0908,1.65258,inf,1.44257,0.000257303,0.000257303,0.000257303
3,182.361,1.47525,1.05774,1.23198,0.01106,0.29692,0.00805,0.00419,2.01161,inf,1.62835,0.00038416,0.00038416,0.00038416
4,226.728,1.41644,1.0089,1.27019,0.00015,0.0119,0.0001,4e-05,nan,nan,nan,0.000505572,0.000505572,0.000505572
5,284.128,1.46029,0.90346,1.24023,0.00015,0.0119,0.0001,4e-05,nan,nan,nan,0.00062154,0.00062154,0.00062154
6,339.303,1.51665,0.9774,1.28495,0.0082,0.01501,0.00406,0.00257,nan,nan,nan,0.000732063,0.000732063,0.000732063
7,391.179,1.46524,0.91284,1.24062,0.00128,0.00794,0.00068,0.00037,nan,nan,nan,0.00083714,0.00083714,0.00083714
8,445.126,1.42146,0.82735,1.24195,0.00128,0.00794,0.00068,0.00037,nan,nan,nan,0.000936772,0.000936772,0.000936772
9,497.37,1.49119,0.97382,1.25265,0.41881,0.06391,0.06192,0.03613,nan,nan,nan,0.00103096,0.00103096,0.00103096
10,556.079,1.48693,0.84152,1.2355,0.41881,0.06391,0.06192,0.03613,nan,nan,nan,0.00102725,0.00102725,0.00102725
11,613.551,1.53659,0.85867,1.23281,0.41881,0.06391,0.06192,0.03613,nan,nan,nan,0.0010025,0.0010025,0.0010025
12,662.799,1.44422,0.79299,1.22227,0.00088,0.02266,0.00048,0.00016,nan,nan,nan,0.00097775,0.00097775,0.00097775
13,707.336,1.44362,0.74958,1.18935,0.06933,0.01331,0.00802,0.00475,nan,nan,nan,0.000953,0.000953,0.000953
