Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
0,"0,049220","6,783268","12,656242","0,018723",13,"6863,867527","0,973557"
1,"0,026607","0,024051","20,414111","0,009250",12,"80,320989","1,701176"
2,"0,007063","0,027861","14,656592","0,010385",11,"59,966272","1,332417"
3,"0,040248","0,024448","16,216314","0,009393",13,"90,304722","1,247409"
4,"0,007107","0,024383","21,813281","0,016604",11,"69,906581","1,983026"
5,"0,007013","0,027810","16,030865","0,008901",11,"59,755222","1,457351"
6,"0,006945","0,023967","13,454008","0,008492",11,"52,857906","1,223092"
7,"0,112140","0,021894","13,591134","0,007504",11,"155,129207","1,235558"
8,"0,006920","0,020812","15,296174","0,017263",10,"60,291374","1,529617"
9,"0,042503","0,022540","10,213599","0,010223",10,"85,479181","1,021360"
10,"0,006881","0,019978","13,476121","0,010824",11,"51,158563","1,225102"
11,"0,007112","0,020549","16,743410","0,007449",11,"51,853667","1,522128"
12,"0,013017","0,023578","12,402054","0,008116",10,"57,113753","1,240205"
13,"0,008297","0,020192","12,196477","0,007914",10,"48,599338","1,219648"
14,"0,008093","0,019991","13,899693","0,007664",10,"49,647996","1,389969"
15,"0,008713","0,021688","11,924880","0,009983",10,"52,308952","1,192488"
16,"0,007574","0,021169","11,346229","0,009695",12,"49,784834","0,945519"
17,"0,007708","0,019197","13,510683","0,014212",12,"54,627621","1,125890"
18,"0,005544","0,020013","12,135290","0,008709",12,"46,400772","1,011274"
19,"0,006243","0,020745","13,149418","0,016300",10,"56,438363","1,314942"
20,"0,005738","0,019872","16,247675","0,011264",10,"53,120415","1,624767"
21,"0,005661","0,023782","9,669638","0,008431",11,"47,543384","0,879058"
22,"0,005932","0,020785","13,820585","0,009400",11,"49,937577","1,256417"
23,"0,007563","0,021809","14,109878","0,008567",11,"52,048587","1,282716"
24,"0,006276","0,021981","14,291264","0,007571",11,"50,119507","1,299206"
25,"0,006250","0,022003","12,930399","0,007529",11,"48,712112","1,175491"
26,"0,005874","0,020519","16,554730","0,010381",11,"53,329737","1,504975"
27,"0,005741","0,025381","12,260384","0,007430",10,"50,812338","1,226038"
28,"0,005357","0,021119","9,238706","0,009152",10,"44,866587","0,923871"
29,"0,008199","0,017825","10,949602","0,008365",10,"45,338897","1,094960"
30,"0,005854","0,019341","12,122905","0,006544",10,"43,861259","1,212290"
31,"0,006550","0,023047","15,526042","0,008195",10,"53,317895","1,552604"
32,"0,010038","0,023360","17,257322","0,008067",11,"58,721669","1,568847"
33,"0,006150","0,023909","10,807644","0,007600",11,"48,466531","0,982513"
34,"0,009440","0,019948","11,562399","0,007965",11,"48,915096","1,051127"
35,"0,008774","0,019573","14,000145","0,008813",10,"51,160516","1,400014"
36,"0,005820","0,023426","13,946255","0,007186",11,"50,377726","1,267841"
37,"0,007005","0,022769","11,185261","0,008686",11,"49,645467","1,016842"
38,"0,006979","0,019099","11,190894","0,007936",9,"45,204812","1,243433"
39,"0,006520","0,019356","10,599377","0,007577",10,"44,053012","1,059938"
40,"0,006357","0,020675","10,920801","0,008906",11,"46,859226","0,992800"
41,"0,006973","0,020812","9,995606","0,007449",11,"45,229677","0,908691"
42,"0,006076","0,019112","11,190382","0,010097",10,"46,474857","1,119038"
43,"0,007917","0,020826","13,204332","0,010031",9,"51,977545","1,467148"
44,"0,005254","0,020443","10,502893","0,009285",9,"45,484471","1,166988"
45,"0,005953","0,018416","13,071174","0,008462",9,"45,902540","1,452353"
46,"0,005888","0,020351","10,795035","0,009236",10,"46,269501","1,079503"
47,"0,005959","0,019279","9,438172","0,008280",10,"42,955329","0,943817"
48,"0,006354","0,019584","11,055911","0,008172",11,"45,165544","1,005083"
49,"0,007450","0,018996","11,299826","0,008401",10,"46,145750","1,129983"
50,"0,009946","0,019740","10,365927","0,007384",10,"47,435252","1,036593"
51,"0,006191","0,018550","11,481467","0,006132",10,"42,354725","1,148147"
52,"0,005633","0,018264","11,273233","0,006448",11,"41,618307","1,024839"
53,"0,008226","0,019469","12,197821","0,006030",11,"45,923724","1,108893"
54,"0,006104","0,019810","10,221151","0,005962",11,"42,097110","0,929196"
55,"0,005834","0,019373","11,093129","0,006481",11,"42,781817","1,008466"
56,"0,006389","0,021491","11,434649","0,009332",11,"48,646604","1,039514"
57,"0,006191","0,019903","11,173100","0,006627",11,"43,894508","1,015736"
58,"0,008805","0,020294","12,230398","0,007030",11,"48,359006","1,111854"
59,"0,006011","0,019520","15,718850","0,006800",11,"48,049650","1,428986"
60,"0,006597","0,021774","10,791259","0,007256",10,"46,417957","1,079126"
61,"0,010338","0,020926","9,894224","0,007463",10,"48,621002","0,989422"
62,"0,005690","0,017931","10,107130","0,006506",10,"40,233697","1,010713"
63,"0,005675","0,020631","10,640435","0,006221",10,"43,167402","1,064043"
64,"0,006026","0,020309","9,639748","0,006185",9,"42,159771","1,071083"
65,"0,005950","0,017891","9,471325","0,006430",9,"39,741258","1,052369"
66,"0,006611","0,021003","9,292628","0,006121",9,"43,027108","1,032514"
67,"0,005876","0,019218","10,643028","0,007913",9,"43,650145","1,182559"
68,"0,006422","0,020121","13,137705","0,006245",10,"45,925453","1,313770"
69,"0,007159","0,021047","12,479690","0,005741",10,"46,426372","1,247969"
70,"0,006289","0,020432","12,230334","0,005729",10,"44,680722","1,223033"
71,"0,007207","0,021254","10,309892","0,006281",10,"45,052579","1,030989"
72,"0,005565","0,019757","11,242192","0,008216",10,"44,779896","1,124219"
73,"0,005597","0,018571","10,527535","0,007250",10,"41,945139","1,052753"
74,"0,007396","0,018895","10,232577","0,005900",10,"42,423785","1,023258"
75,"0,006541","0,018407","10,755961","0,006680",11,"42,383943","0,977815"
76,"0,006062","0,019137","10,712439","0,006295",10,"42,207071","1,071244"
77,"0,011645","0,021830","10,347206","0,005686",10,"49,509301","1,034721"
78,"0,006761","0,018221","10,427818","0,006149",11,"41,558784","0,947983"
79,"0,005339","0,018400","10,839933","0,005835",10,"40,413897","1,083993"
80,"0,005693","0,019016","14,559051","0,008151",10,"47,419602","1,455905"
81,"0,005518","0,022817","11,534398","0,006122",11,"45,991727","1,048582"
82,"0,006113","0,020971","12,255615","0,007296",11,"46,635630","1,114147"
83,"0,005941","0,018985","12,924159","0,006945",11,"44,795415","1,174924"
84,"0,005685","0,021747","11,895119","0,007135",10,"46,461606","1,189512"
85,"0,006586","0,023381","11,030758","0,012744",10,"53,741820","1,103076"
86,"0,006319","0,018305","10,459051","0,009316",9,"44,398820","1,162117"
87,"0,005410","0,018318","10,226656","0,008994",9,"42,948737","1,136295"
88,"0,006006","0,017775","9,887569","0,008446",11,"42,113882","0,898870"
89,"0,005701","0,017814","11,419992","0,008450",10,"43,384598","1,141999"
90,"0,006074","0,019706","13,461784","0,007882",11,"47,123717","1,223799"
91,"0,006293","0,020454","11,433017","0,010692",11,"48,871960","1,039365"
92,"0,007350","0,020429","11,617634","0,011730",10,"51,127137","1,161763"
93,"0,006049","0,021215","14,817783","0,007686",11,"49,767392","1,347071"
94,"0,006411","0,021144","15,199914","0,009386",11,"52,140689","1,381810"
95,"0,005357","0,022424","11,500252","0,008908",11,"48,189654","1,045477"
96,"0,005924","0,022239","11,452986","0,007761",11,"47,377074","1,041181"
97,"0,005698","0,018055","9,272339","0,008896",11,"41,921041","0,842940"
98,"0,007138","0,018284","11,287218","0,008646",11,"45,355378","1,026111"
99,"0,006276","0,019130","16,378881","0,009409",11,"51,193698","1,488989"
100,"0,005346","0,022793","15,584988","0,010214",12,"53,938278","1,298749"
101,"0,006179","0,021270","11,738024","0,009274",11,"48,461348","1,067093"
102,"0,006083","0,018855","13,949039","0,009572",10,"48,458531","1,394904"
103,"0,007595","0,020721","10,655732","0,014540",7,"53,512113","1,522247"
104,"0,005704","0,017860","11,175917","0,011742",4,"46,482245","2,793979"
105,"0,005530","0,016516","12,596208","0,012956",3,"47,598907","4,198736"
106,"0,013899","0,020595","9,005959","0,010556",3,"54,054795","3,001986"
107,"0,005922","0,016135","9,762506","0,011681",3,"43,500634","3,254169"
108,"0,006244","0,017602","11,338868","0,007290",5,"42,474442","2,267774"
109,"0,005561","0,018045","15,800774","0,013863",5,"53,269925","3,160155"
110,"0,006694","0,022831","16,764691","0,012294",7,"58,582751","2,394956"
111,"0,005225","0,023560","14,228444","0,014507",8,"57,520396","1,778555"
112,"0,006224","0,022598","14,662128","0,010335",9,"53,818782","1,629125"
113,"0,006078","0,021395","15,053123","0,012518",9,"55,044056","1,672569"
114,"0,007876","0,023640","13,449880","0,014961",8,"59,926590","1,681235"
115,"0,009116","0,021381","13,691011","0,013512",9,"57,700214","1,521223"
116,"0,006392","0,020483","15,509849","0,011751",9,"54,135407","1,723317"
117,"0,007445","0,022986","11,832395","0,011992",8,"54,255892","1,479049"
118,"0,006489","0,021924","11,692741","0,011660",8,"51,765950","1,461593"
119,"0,006180","0,019143","14,584333","0,010925",8,"50,832275","1,823042"
120,"0,006058","0,022200","14,666737","0,007989",9,"50,913910","1,629637"
121,"0,006757","0,022229","12,665427","0,010094",9,"51,746271","1,407270"
122,"0,006618","0,019891","10,190046","0,008913",9,"45,610750","1,132227"
123,"0,006356","0,018203","14,997793","0,009227",9,"48,783763","1,666421"
124,"0,006186","0,023847","13,318770","0,009396",9,"52,748206","1,479863"
125,"0,008341","0,020680","15,510680","0,010061",9,"54,592292","1,723409"
126,"0,006259","0,022547","14,075349","0,008914",10,"51,795712","1,407535"
127,"0,006561","0,021920","13,383924","0,009451",10,"51,315049","1,338392"
128,"0,007174","0,020654","11,330836","0,014152",9,"53,310856","1,258982"
129,"0,005769","0,019769","10,394472","0,009734",9,"45,665793","1,154941"
130,"0,005879","0,019862","11,790153","0,009423",8,"46,954685","1,473769"
131,"0,005210","0,019187","11,876238","0,008990",7,"45,263502","1,696605"
132,"0,005242","0,019841","13,238894","0,006922",7,"45,244365","1,891271"
133,"0,006447","0,025017","9,836974","0,009423",7,"50,724269","1,405282"
134,"0,005915","0,018076","10,586673","0,012939",7,"47,517718","1,512382"
135,"0,005313","0,019174","11,609697","0,009779",8,"45,875274","1,451212"
136,"0,006232","0,019587","12,049078","0,009131",8,"46,998528","1,506135"
137,"0,006454","0,020013","9,134733","0,008432",8,"44,034355","1,141842"
138,"0,006880","0,020094","9,905553","0,014442",8,"51,321770","1,238194"
139,"0,006054","0,017567","11,285202","0,012862",8,"47,767843","1,410650"
140,"0,007039","0,019459","10,358983","0,009667",8,"46,524521","1,294873"
141,"0,006228","0,018032","12,855900","0,008278",8,"45,393909","1,606988"
142,"0,006252","0,020643","11,403640","0,008457",9,"46,755828","1,267071"
143,"0,005724","0,021821","9,894737","0,008649",9,"46,088406","1,099415"
144,"0,005740","0,017839","10,900351","0,008196",8,"42,675827","1,362544"
145,"0,005659","0,019237","10,318565","0,008561",8,"43,774633","1,289821"
146,"0,007355","0,018545","11,037318","0,008244",8,"45,181066","1,379665"
147,"0,006681","0,018679","8,710521","0,009668",7,"43,739046","1,244360"
148,"0,007699","0,018833","9,639333","0,008623",8,"44,794647","1,204917"
149,"0,005903","0,017564","11,953522","0,007979",7,"43,400118","1,707646"
150,"0,005776","0,022538","10,254881","0,010198",8,"48,766769","1,281860"
151,"0,005486","0,018623","11,862829","0,008430",8,"44,401413","1,482854"
152,"0,006702","0,019927","10,693334","0,008039",8,"45,360913","1,336667"
153,"0,006896","0,020299","11,294706","0,012184",9,"50,674667","1,254967"
154,"0,006475","0,019613","15,623422","0,007987",9,"49,698047","1,735936"
155,"0,005732","0,023173","9,171183","0,007865",8,"45,941070","1,146398"
156,"0,006020","0,020047","11,043398","0,008531",8,"45,641182","1,380425"
157,"0,006328","0,019405","13,523643","0,011377",9,"50,634601","1,502627"
158,"0,006622","0,022017","12,569006","0,009241",8,"50,449345","1,571126"
159,"0,005474","0,022257","11,481851","0,009562",8,"48,774482","1,435231"
160,"0,006166","0,018653","12,091352","0,009657",8,"46,566891","1,511419"
161,"0,005919","0,020316","14,623695","0,007654",8,"48,513575","1,827962"
162,"0,005896","0,024514","12,567758","0,007897",9,"50,874421","1,396418"
163,"0,006162","0,020577","10,698262","0,007884",9,"45,321679","1,188696"
164,"0,006504","0,021312","12,886845","0,007733",8,"48,435458","1,610856"
165,"0,007609","0,022981","10,836637","0,007703",8,"49,129186","1,354580"
166,"0,005373","0,018681","12,111609","0,008076",8,"44,241981","1,513951"
167,"0,005775","0,022770","14,177242","0,008890",8,"51,612312","1,772155"
168,"0,005542","0,020612","9,485470","0,008231",9,"43,870476","1,053941"
169,"0,009061","0,017519","8,741787","0,009583",9,"44,904957","0,971310"
170,"0,006150","0,017940","11,625986","0,008227",8,"43,943663","1,453248"
171,"0,006057","0,019876","10,591953","0,008748",8,"45,272782","1,323994"
172,"0,006263","0,019068","12,014580","0,008252",9,"45,597501","1,334953"
173,"0,006398","0,019938","8,412907","0,008098",9,"42,845948","0,934767"
174,"0,005519","0,016483","12,681523","0,007481",8,"42,164571","1,585190"
175,"0,005192","0,019104","10,605394","0,008182",7,"43,083014","1,515056"
176,"0,007056","0,018577","13,006306","0,008491",8,"47,129924","1,625788"
177,"0,010366","0,022336","13,003042","0,009075",8,"54,780684","1,625380"
