CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,mJ,Total_mJ,Total_J,Total_Time_s,average_mW,average_GPU_Usage_%,average_CPU_Usage_%,CV_mW
42,25,9,0,25,60,54,9,2264,2263,2264,2263,2265,2263,2270,2264,0,216,619,2477,2631,309,3120,9156,55,773798.0,773.8,78.24,9946.53,22.94,19.09,
16,8,0,0,7,76,0,0,2264,2266,2254,2264,2261,2264,2263,2266,0,216,619,2477,2631,309,3120,9156,55,,,,,,,0.0
0,7,7,15,0,66,7,7,2264,2262,2264,2261,2261,2258,2264,2263,9,216,619,2477,2631,464,3120,9311,56,,,,,,,0.0
15,0,15,25,41,54,8,0,2265,2264,2263,2264,2265,2261,2265,2264,55,318,774,2477,2631,309,3120,9311,56,,,,,,,0.0
0,0,8,8,90,15,0,15,2264,2264,2261,2261,2264,2264,2264,2264,0,318,619,2631,2631,309,3120,9310,56,,,,,,,0.0
0,15,0,7,76,8,0,0,2262,2265,2264,2265,2261,2264,2264,2264,73,318,774,2477,2631,464,3120,9466,57,,,,,,,
21,0,8,0,91,7,8,0,2262,2265,2261,2260,2264,2264,2263,2266,0,318,774,2477,2631,309,3120,9311,56,,,,,,,
0,0,16,0,75,8,8,15,2264,2265,2264,2264,2261,2263,2264,2265,94,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
15,8,16,15,84,0,15,8,2264,2263,2261,2264,2264,2263,2261,2264,0,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
16,9,16,8,76,0,25,16,2265,2264,2262,2264,2259,2260,2263,2265,94,318,774,2785,2630,464,3160,9813,59,,,,,,,0.0
16,8,15,0,90,0,0,8,2264,2265,2264,2264,2263,2264,2268,2265,0,318,774,2785,2631,464,3160,9814,59,,,,,,,
25,25,0,16,75,9,10,18,2264,2267,2262,2264,2263,2264,2264,2264,57,318,773,2940,2630,464,3160,9967,60,,,,,,,
16,53,16,0,83,25,23,25,2270,2263,2263,2263,2267,2265,2264,2263,1,318,773,3249,2630,464,3160,10276,61,,,,,,,0.0
8,15,8,7,76,23,23,16,2260,2264,2264,2261,2262,2262,2253,2260,83,318,773,3249,2785,464,3160,10431,62,,,,,,,0.0
23,0,0,0,90,8,27,0,2264,2264,2263,2264,2268,2264,2264,2264,0,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
0,7,0,8,69,7,8,0,2263,2262,2264,2263,2261,2259,2264,2263,30,318,773,2940,2630,464,3160,9967,60,,,,,,,0.0
15,7,0,0,91,0,7,0,2264,2263,2264,2263,2264,2263,2268,2265,1,318,773,2785,2630,464,3160,9812,59,,,,,,,
15,0,7,8,75,0,0,0,2263,2264,2263,2260,2263,2264,2263,2261,0,318,773,2630,2630,464,3160,9657,58,,,,,,,0.0
8,0,0,0,83,8,0,7,2263,2264,2262,2263,2263,2264,2264,2263,0,318,773,2630,2630,464,3120,9617,57,,,,,,,0.0
15,0,15,8,76,0,0,15,2264,2263,2262,2263,2262,2264,2264,2263,70,318,928,2476,2630,464,3160,9658,58,,,,,,,0.0
0,0,8,0,84,0,0,8,2261,2264,2264,2253,2263,2260,2264,2263,0,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
8,7,8,28,75,0,0,0,2263,2267,2263,2260,2264,2260,2264,2262,42,318,928,2477,2631,464,3160,9660,58,,,,,,,0.0
8,0,15,21,90,0,14,0,2263,2264,2264,2260,2264,2264,2264,2264,1,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,7,0,8,72,0,8,0,2261,2263,2254,2264,2263,2264,2263,2264,90,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
0,0,8,8,83,0,0,8,2264,2264,2270,2262,2264,2264,2262,2264,0,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
0,7,8,0,76,0,7,0,2264,2262,2261,2261,2262,2261,2259,2264,90,318,774,2322,2631,464,3160,9351,56,,,,,,,0.0
0,0,0,0,83,8,0,15,2264,2261,2264,2264,2264,2264,2263,2264,0,318,774,2477,2631,309,3120,9311,56,,,,,,,0.0
0,0,15,21,72,0,0,0,2262,2264,2263,2264,2262,2264,2262,2265,57,318,774,2477,2631,464,3160,9506,57,,,,,,,
15,8,0,0,83,0,7,8,2263,2261,2263,2264,2264,2263,2259,2264,0,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,0,0,8,83,7,15,16,2265,2263,2263,2264,2264,2262,2264,2264,74,318,774,2322,2631,464,3120,9311,56,,,,,,,0.0
7,0,0,0,75,8,0,8,2263,2264,2263,2271,2264,2263,2265,2264,0,318,774,2477,2631,464,3120,9466,57,,,,,,,
9,16,8,15,8,81,9,45,2264,2263,2258,2265,2262,2264,2264,2262,97,318,773,2630,2630,464,3160,9657,58,,,,,,,0.0
15,0,0,8,7,83,7,7,2263,2263,2264,2265,2261,2264,2268,2264,0,318,773,2630,2630,464,3160,9657,58,,,,,,,0.0
16,8,0,8,0,72,8,7,2264,2263,2264,2264,2257,2264,2261,2264,73,318,773,2476,2630,464,3160,9503,57,,,,,,,0.0
16,0,8,0,0,83,0,0,2262,2261,2264,2263,2264,2263,2262,2263,0,318,774,2476,2630,464,3120,9464,57,,,,,,,
9,0,7,8,15,76,0,0,2264,2265,2264,2257,2254,2261,2268,2268,92,318,774,2477,2630,464,3120,9465,57,,,,,,,0.0
9,8,0,0,15,83,0,0,2263,2264,2264,2264,2264,2269,2264,2262,0,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
41,8,16,15,0,83,8,0,2263,2263,2263,2262,2264,2264,2264,2265,19,318,774,2630,2630,464,3160,9658,58,,,,,,,0.0
15,66,0,0,16,75,7,15,2263,2262,2262,2264,2264,2264,2265,2264,0,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
16,8,8,7,0,84,0,7,2262,2257,2264,2263,2263,2265,2264,2264,50,318,773,2940,2630,464,3160,9967,60,,,,,,,0.0
15,76,0,0,0,75,14,0,2264,2264,2265,2265,2264,2264,2264,2261,0,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
50,54,15,23,0,83,9,0,2263,2262,2263,2264,2263,2263,2265,2263,8,318,773,3249,2630,464,3160,10276,61,,,,,,,0.0
9,9,16,8,0,75,15,0,2265,2260,2264,2263,2264,2258,2264,2264,0,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
28,7,15,0,0,90,0,7,2263,2264,2264,2265,2267,2264,2264,2254,38,318,773,2940,2630,464,3160,9967,60,,,,,,,0.0
9,16,0,0,0,75,0,0,2264,2263,2257,2263,2265,2256,2264,2261,0,318,773,2785,2630,464,3160,9812,59,,,,,,,0.0
15,0,8,0,0,83,0,0,2264,2267,2263,2264,2267,2254,2259,2264,73,318,774,2631,2630,464,3120,9619,57,,,,,,,0.0
8,53,0,0,0,76,0,7,2264,2263,2265,2259,2263,2262,2263,2263,0,318,773,2785,2630,464,3160,9812,59,,,,,,,0.0
8,16,81,16,0,0,9,14,2264,2264,2264,2264,2262,2264,2263,2263,66,318,773,2785,2630,464,3160,9812,59,,,,,,,0.0
8,0,76,8,15,0,7,27,2264,2264,2258,2264,2264,2264,2264,2264,0,318,774,2786,2630,464,3120,9774,58,,,,,,,0.0
7,0,7,7,16,8,0,75,2262,2263,2264,2263,2262,2264,2263,2260,22,318,774,2631,2630,464,3160,9659,58,,,,,,,0.0
8,7,0,8,8,8,8,83,2263,2262,2264,2261,2265,2263,2259,2264,5,318,774,2631,2631,464,3120,9620,57,,,,,,,
0,0,0,0,0,9,66,18,2265,2264,2264,2264,2266,2261,2265,2263,27,318,774,2631,2630,464,3160,9659,58,,,,,,,0.0
8,0,0,8,8,9,84,0,2264,2265,2264,2265,2264,2263,2264,2263,4,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
0,0,16,16,46,15,72,0,2264,2263,2264,2264,2260,2264,2263,2264,0,318,774,2785,2630,464,3160,9813,59,,,,,,,
15,8,16,8,16,15,84,0,2266,2265,2269,2264,2264,2268,2265,2261,48,318,774,2785,2630,464,3120,9773,58,,,,,,,0.0
8,0,8,0,7,15,72,0,2264,2257,2265,2261,2264,2264,2263,2261,0,318,774,2630,2631,464,3160,9659,58,,,,,,,
0,0,14,0,0,0,90,0,2265,2264,2264,2262,2264,2263,2260,2264,7,318,774,2631,2631,464,3120,9620,57,,,,,,,
7,0,0,8,8,0,76,0,2264,2261,2264,2264,2262,2264,2264,2259,0,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
0,0,8,16,0,8,83,0,2263,2264,2265,2264,2264,2264,2259,2264,45,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,0,25,15,0,15,75,0,2264,2262,2263,2261,2263,2262,2263,2263,0,318,774,2631,2631,464,3120,9620,57,,,,,,,
0,8,9,0,21,7,84,16,2264,2262,2259,2264,2263,2260,2264,2264,76,318,774,2631,2631,464,3160,9660,58,,,,,,,
15,0,0,0,0,0,75,0,2262,2261,2264,2264,2251,2263,2263,2264,1,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
8,0,0,9,15,21,90,0,2264,2263,2264,2267,2264,2264,2264,2262,10,318,774,2477,2631,464,3160,9506,57,,,,,,,
8,0,0,0,8,8,75,15,2265,2264,2265,2264,2264,2264,2262,2263,0,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
0,0,7,0,8,15,83,0,2264,2264,2264,2264,2264,2261,2265,2263,25,318,774,2477,2631,464,3160,9506,57,,,,,,,
8,8,0,15,15,8,75,15,2263,2263,2264,2263,2263,2260,2264,2264,0,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
8,8,0,0,0,0,81,0,2264,2264,2264,2264,2262,2263,2267,2264,64,318,774,2322,2631,464,3160,9351,56,,,,,,,0.0
15,7,8,0,16,8,75,0,2263,2261,2261,2263,2264,2262,2257,2263,0,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
8,15,7,0,8,0,90,8,2263,2264,2264,2264,2264,2263,2263,2263,7,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
15,0,0,0,16,0,75,0,2264,2264,2257,2265,2261,2264,2264,2259,0,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
0,7,0,0,0,15,85,0,2264,2264,2262,2265,2264,2260,2263,2263,35,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,0,0,7,0,0,75,8,2264,2261,2263,2262,2264,2262,2260,2263,0,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,0,8,0,0,0,83,8,2263,2263,2261,2264,2262,2257,2264,2264,69,318,774,2322,2631,464,3120,9311,56,,,,,,,0.0
8,8,7,8,8,15,81,0,2258,2263,2262,2263,2264,2262,2261,2265,0,318,774,2322,2631,464,3120,9311,56,,,,,,,0.0
